system,candidate_nodes,node,visit_count,trajectories,er,er_ge_10,er_ge_30
Browser,All non-trivial nodes,1,16,16,1.0,True,True
Browser,All non-trivial nodes,10,1,16,0.0625,False,False
Browser,All non-trivial nodes,100,0,16,0.0,False,False
Browser,All non-trivial nodes,1000,0,16,0.0,False,False
Browser,All non-trivial nodes,1001,0,16,0.0,False,False
Browser,All non-trivial nodes,1002,0,16,0.0,False,False
Browser,All non-trivial nodes,1003,0,16,0.0,False,False
Browser,All non-trivial nodes,1004,0,16,0.0,False,False
Browser,All non-trivial nodes,1005,0,16,0.0,False,False
Browser,All non-trivial nodes,1006,0,16,0.0,False,False
Browser,All non-trivial nodes,1007,0,16,0.0,False,False
Browser,All non-trivial nodes,1008,0,16,0.0,False,False
Browser,All non-trivial nodes,1009,0,16,0.0,False,False
Browser,All non-trivial nodes,101,0,16,0.0,False,False
Browser,All non-trivial nodes,1010,0,16,0.0,False,False
Browser,All non-trivial nodes,1011,0,16,0.0,False,False
Browser,All non-trivial nodes,1012,0,16,0.0,False,False
Browser,All non-trivial nodes,1013,0,16,0.0,False,False
Browser,All non-trivial nodes,1014,0,16,0.0,False,False
Browser,All non-trivial nodes,1015,0,16,0.0,False,False
Browser,All non-trivial nodes,1016,0,16,0.0,False,False
Browser,All non-trivial nodes,1017,0,16,0.0,False,False
Browser,All non-trivial nodes,1018,0,16,0.0,False,False
Browser,All non-trivial nodes,1019,0,16,0.0,False,False
Browser,All non-trivial nodes,102,0,16,0.0,False,False
Browser,All non-trivial nodes,1020,0,16,0.0,False,False
Browser,All non-trivial nodes,1021,0,16,0.0,False,False
Browser,All non-trivial nodes,1022,0,16,0.0,False,False
Browser,All non-trivial nodes,103,0,16,0.0,False,False
Browser,All non-trivial nodes,104,0,16,0.0,False,False
Browser,All non-trivial nodes,105,0,16,0.0,False,False
Browser,All non-trivial nodes,106,0,16,0.0,False,False
Browser,All non-trivial nodes,107,0,16,0.0,False,False
Browser,All non-trivial nodes,108,0,16,0.0,False,False
Browser,All non-trivial nodes,109,0,16,0.0,False,False
Browser,All non-trivial nodes,11,0,16,0.0,False,False
Browser,All non-trivial nodes,110,0,16,0.0,False,False
Browser,All non-trivial nodes,111,0,16,0.0,False,False
Browser,All non-trivial nodes,112,0,16,0.0,False,False
Browser,All non-trivial nodes,113,0,16,0.0,False,False
Browser,All non-trivial nodes,114,0,16,0.0,False,False
Browser,All non-trivial nodes,115,1,16,0.0625,False,False
Browser,All non-trivial nodes,116,0,16,0.0,False,False
Browser,All non-trivial nodes,117,0,16,0.0,False,False
Browser,All non-trivial nodes,118,0,16,0.0,False,False
Browser,All non-trivial nodes,119,0,16,0.0,False,False
Browser,All non-trivial nodes,12,0,16,0.0,False,False
Browser,All non-trivial nodes,120,0,16,0.0,False,False
Browser,All non-trivial nodes,121,0,16,0.0,False,False
Browser,All non-trivial nodes,122,0,16,0.0,False,False
Browser,All non-trivial nodes,123,0,16,0.0,False,False
Browser,All non-trivial nodes,124,0,16,0.0,False,False
Browser,All non-trivial nodes,125,0,16,0.0,False,False
Browser,All non-trivial nodes,126,0,16,0.0,False,False
Browser,All non-trivial nodes,127,4,16,0.25,True,False
Browser,All non-trivial nodes,128,2,16,0.125,True,False
Browser,All non-trivial nodes,129,0,16,0.0,False,False
Browser,All non-trivial nodes,13,5,16,0.3125,True,True
Browser,All non-trivial nodes,130,0,16,0.0,False,False
Browser,All non-trivial nodes,131,0,16,0.0,False,False
Browser,All non-trivial nodes,132,0,16,0.0,False,False
Browser,All non-trivial nodes,133,0,16,0.0,False,False
Browser,All non-trivial nodes,134,0,16,0.0,False,False
Browser,All non-trivial nodes,135,0,16,0.0,False,False
Browser,All non-trivial nodes,136,0,16,0.0,False,False
Browser,All non-trivial nodes,137,0,16,0.0,False,False
Browser,All non-trivial nodes,138,0,16,0.0,False,False
Browser,All non-trivial nodes,139,0,16,0.0,False,False
Browser,All non-trivial nodes,14,0,16,0.0,False,False
Browser,All non-trivial nodes,140,0,16,0.0,False,False
Browser,All non-trivial nodes,141,0,16,0.0,False,False
Browser,All non-trivial nodes,142,0,16,0.0,False,False
Browser,All non-trivial nodes,143,0,16,0.0,False,False
Browser,All non-trivial nodes,144,0,16,0.0,False,False
Browser,All non-trivial nodes,145,0,16,0.0,False,False
Browser,All non-trivial nodes,146,0,16,0.0,False,False
Browser,All non-trivial nodes,147,0,16,0.0,False,False
Browser,All non-trivial nodes,148,0,16,0.0,False,False
Browser,All non-trivial nodes,149,0,16,0.0,False,False
Browser,All non-trivial nodes,15,8,16,0.5,True,True
Browser,All non-trivial nodes,150,0,16,0.0,False,False
Browser,All non-trivial nodes,151,0,16,0.0,False,False
Browser,All non-trivial nodes,152,0,16,0.0,False,False
Browser,All non-trivial nodes,153,0,16,0.0,False,False
Browser,All non-trivial nodes,154,0,16,0.0,False,False
Browser,All non-trivial nodes,155,0,16,0.0,False,False
Browser,All non-trivial nodes,156,0,16,0.0,False,False
Browser,All non-trivial nodes,157,0,16,0.0,False,False
Browser,All non-trivial nodes,158,0,16,0.0,False,False
Browser,All non-trivial nodes,159,0,16,0.0,False,False
